Startnummer,Kommune,Phase,North,East,KE
97,Friedrichshafen,1,47.6617648,9.4800113,LocalZero Friedrichshafen
96,Uhldingen-Mühlhofen,1,47.730053,9.231303,LocalZero Uhldingen-Mühlhofen
95,Werder,1,52.378056,12.935,LocalZero Werder (Havel)
94,Plüderhausen & Urbach,1,48.7951781,9.5986429,LocalZero Plüderhausen & Urbach
92,Weilerswist,1,50.7644246,6.846116,LocalZero Weilerswist
91,Merseburg,1,51.354722,11.999167,LocalZero Merseburg
90,Kaiserslautern,1,49.4432174,7.7689951,LocalZero Kaiserslautern
89,Ludwigsburg,1,48.8953937,9.1895147,LocalZero Ludwigsburg
88,Großbottwar,1,49.001906,9.293948,LocalZero Großbottwar
87,Tutzing,1,47.912512,11.277267,LocalZero Tutzing
86,Neukirchen-Vluyn,1,51.442383,6.553726,LocalZero Neukirchen-Vluyn
85,Freudenstadt,1,48.46448,8.417999,LocalZero Freudenstadt
80,Ibbenbüren,1,52.28,7.72,LocalZero Ibbenbüren
79,Sinsheim,1,49.25,8.89,LocalZero Sinsheim
75,Schwäbisch Gmünd,1,48.8,9.8,LocalZero Schwäbisch Gmünd
74,Unna,1,51.54,7.69,LocalZero Unna
73,Leipzig,1,51.34,12.37,LocalZero Leipzig
72,Koblenz,1,50.36,7.59,LocalZero Koblenz
71,Aldingen,1,48.09,8.7,LocalZero Aldingen
69,Donaueschingen,1,47.95,8.5,LocalZero Donaueschingen
68,Kempten,1,47.7267063,10.3168835,LocalZero Kempten
65,Kuppenheim,1,48.83,8.26,LocalZero Kuppenheim
64,Wismar,1,53.9,11.45,LocalZero Wismar
63,Karlsruhe,1,49.01,8.4,LocalZero Karlsruhe
60,Marl,1,51.66,7.11,LocalZero Marl
59,St. Ingbert,1,49.28,7.11,LocalZero St. Ingbert
59,Greifswald,1,54.09,13.39,LocalZero Greifswald
58,Ingolstadt,1,48.77,11.43,LocalZero Ingolstadt
56,Sachsenheim,1,48.96,9.06,LocalZero Sachsenheim
55,Besigheim,1,49,9.15,LocalZero Besigheim
48,Wiesbaden,1,50.08,8.24,LocalZero Wiesbaden
47,Halstenbek,1,53.63,9.85,LocalZero Halstenbek
44,Lübeck,1,53.87,10.69,LocalZero Lübeck
42,Potsdam,1,52.39,13.06,LocalZero Potsdam
40,Heilbronn,1,49.14,9.21,LocalZero Heilbronn
35,Traunstein,1,47.87,12.64,LocalZero Traunstein
31,Deggendorf,1,48.84,12.96,LocalZero Deggendorf
28,Hamburg,1,53.55,9.99,LocalZero Hamburg
21,Backnang,1,48.9466664,9.4305243,LocalZero Backnang
20,Würzburg,1,49.79245,9.932966,LocalZero Würzburg
19,Buch am Erlbach,1,48.45,12.03,LocalZero Buch am Erlbach
18,Altdorf,1,48.56,12.11,LocalZero Altdorf
17,Heidelberg,1,49.4093582,8.694724,LocalZero Heidelberg
15,Neu-Ulm,1,48.3954965,10.00589,LocalZero Neu-Ulm
14,Ulm,1,48.3974003,9.9934336,LocalZero Ulm
10,Halle (Saale),1,51.4825041,11.9705452,LocalZero Halle (Saale)
5,Bayreuth,1,49.9456,11.571335,LocalZero Bayreuth
4,Berlin,1,52.5170365,13.3888599,LocalZero Berlin
93,Bad Segeberg,2,53.9391,10.3054,LocalZero Bad Segeberg
83,Vechelde,2,52.259508,10.367178,LocalZero Vechelde
82,Göppingen,2,48.71,9.65,LocalZero Göppingen
81,Pinneberg,2,53.65,9.79,LocalZero Pinneberg
77,Bremen,2,53.0758196,8.8071646,LocalZero Bremen
76,Bietigheim-Bissingen,2,48.95,9.13,LocalZero Bietigheim-Bissingen
70,Braunschweig,2,52.27,10.53,LocalZero Braunschweig
67,Burgkunstadt,2,50.14,11.25,LocalZero Burgkunstadt
57,Edingen-Neckarhausen,2,49.45,8.61,LocalZero Edingen-Neckarhausen
54,Markdorf,2,47.72,9.39,LocalZero Markdorf
53,Bargteheide,2,53.73,10.27,LocalZero Bargteheide
51,Dortmund,2,51.51,7.47,LocalZero Dortmund
50,Öhringen,2,49.2,9.5,LocalZero Öhringen
49,Bad Hersfeld,2,50.87,9.7,LocalZero Bad Hersfeld
45,Nürnberg,2,49.45,11.08,LocalZero Nürnberg
43,Osnabrück,2,52.28,8.05,LocalZero Osnabrück
41,Freiburg,2,48,7.84,LocalZero Freiburg
38,Husum,2,54.48,9.06,LocalZero Husum
36,Kernen im Remstal,2,48.81,9.32,LocalZero Kernen im Remstal
33,Waiblingen,2,48.83,9.32,LocalZero Waiblingen
32,Weinstadt,2,48.81,9.36,LocalZero Weinstadt
30,Eberbach,2,49.47,8.99,LocalZero Eberbach
29,Remshalden,2,48.81,9.43,LocalZero Remshalden
27,Jena,2,50.93,11.59,LocalZero Jena
26,Rüsselsheim,2,49.99,8.42,LocalZero Rüsselsheim
24,Aalen,2,48.84,10.1,LocalZero Aalen
23,Dresden,2,51.05,13.74,LocalZero Dresden
22,Aachen,2,50.78,6.08,LocalZero Aachen
16,Mannheim,2,49.4892913,8.4673098,LocalZero Mannheim
13,Ergolding,2,48.57,12.17,LocalZero Ergolding
12,Landshut,2,48.536217,12.1516551,LocalZero Landshut
11,Göttingen,2,51.5328328,9.9351811,LocalZero Göttingen
9,Mainz,2,50.0012314,8.2762513,LocalZero Mainz
8,Lüneburg,2,53.248706,10.407855,LocalZero Lüneburg
7,Buchholz in der Nordheide,2,53.3167,9.866666944,LocalZero Buchholz i.d.N.
6,Schorndorf,2,48.8015,9.52962,LocalZero Schorndorf
3,Münster,2,51.9607,7.626135,LocalZero Münster
2,Konstanz,2,47.6779,9.173238333,LocalZero Konstanz
37,Hannover,3,52.38,9.73,LocalZero Hannover
1,Essen,3,51.4556,7.011555278,LocalZero Essen
